uvig	jgi_sample_id	scaffold_id	ecosystem_classification	votu	length	start_coordinate	end_coordinate	is_whole_scaffold	total_genes	cds	tRNA	genomad_marker	topology	genomad_score	confidence	estimated_completeness	estimated_contamination	miuvig_quality	taxonomic_classification	taxonomic_classification_method	host_taxonomy_prediction	host_prediction_method	sequence_origin
IMGVR_UViG_2504643025_000001	2504643025	2504645545	;;;	vOTU_00000001	5594	381	5974	false	10	10	0	5	Provirus	0.9261	High-confidence	92.20	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2504756089_000001	2504756089	2504826429	;;;	vOTU_00000002	9399	1745	11143	false	16	16	0	5	Provirus	0.6056	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2505313053_000001	2505313053	2505349123	Host-associated;Plants;Phyllosphere;Leaf	vOTU_00000003	7645	1	7645	false	8	8	0	6	Provirus	0.9234	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E amygdali	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2506210030_000001	2506210030	2506226343	Host-associated;Unclassified;Unclassified;Unclassified	vOTU_00000004	10205	0	10205	true	12	12	0	7	Linear	0.857	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E crudilactis	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2507262023_000001	2507262023	2507275142	Host-associated;Human;Respiratory system;Unclassified	vOTU_00000005	7392	0	7392	true	10	10	0	8	Linear	0.9524	High-confidence	100.00	0.0	High-quality	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2507262024_000001	2507262024	2507276053	Host-associated;Unclassified;Unclassified;Unclassified	vOTU_00000006	9258	4006	13263	false	11	11	0	8	Provirus	0.9471	High-confidence	86.73	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2510461032_000002	2510461032	2510473773	Host-associated;Unclassified;Unclassified;Unclassified	vOTU_00000007	8497	0	8497	true	10	10	0	2	Linear	0.6942	High-confidence	NA	0.0	Unsure	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	NR (doi:10.5281/zenodo.6574914)	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2516653000_000001	2516653000	2516653193	Environmental;Aquatic;Freshwater;Lotic	vOTU_00000008	6612	690	7301	false	9	9	0	3	Provirus	0.6298	High-confidence	86.91	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;;;	geNomad	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Blastochloris;s__Blastochloris viridis	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2516653000_000002	2516653000	2516653252	Environmental;Aquatic;Freshwater;Lotic	vOTU_00000009	6001	62	6062	false	9	9	0	5	Provirus	0.9261	High-confidence	83.15	0.0	Genome fragment	r__Monodnaviria;k__Loebvirae;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Inoviridae;;	geNomad	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Blastochloris;s__Blastochloris viridis	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
IMGVR_UViG_2517572009_000001	2517572009	2517573319	Environmental;Aquatic;Marine;Unclassified	vOTU_00000010	10100	0	10100	true	15	15	0	1	Linear	0.2746	High-confidence	NA	0.0	Unsure	;;;;;;;		d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae;g__Parvibaculum;s__Parvibaculum sp002480495	Isolate taxonomy	Inoviruses (10.1038/s41564-019-0510-x)
